district,composite_lean,margin,sigma_i,inc_shift,win_prob,marginal_wp,tier,open_seat_2026,current_holder,incumbent_status_2026,target_mode_voterfile,n_mobilization_targets,n_persuasion_targets,investment_rank
52,0.0344,0.0144,0.0387,0.0000,0.6448,9.6154,lean_d,True,R,open_seat,persuasion,1302,23830,1
39,0.0072,-0.0128,0.0405,0.0000,0.3755,9.3714,tossup,True,R,open_seat,persuasion,1002,20293,2
49,0.0373,0.0173,0.0390,0.0000,0.6713,9.2828,lean_d,False,R,true_incumbent,persuasion,1397,17917,3
36,0.0383,0.0183,0.0393,0.0000,0.6794,9.1008,lean_d,False,R,true_incumbent,persuasion,1027,21525,4
64,0.0152,-0.0048,0.0438,0.0000,0.4568,9.0456,tossup,False,R,true_incumbent,persuasion,1754,19556,5
23,0.0412,0.0212,0.0391,0.0000,0.7064,8.8142,lean_d,False,D,true_incumbent,persuasion,1159,25100,6
17,0.0123,-0.0077,0.0462,0.0000,0.4337,8.5075,tossup,False,R,true_incumbent,persuasion,1046,25278,7
32,-0.0023,-0.0223,0.0409,0.0000,0.2928,8.4079,tossup,False,R,true_incumbent,persuasion,1143,20793,8
60,0.0081,-0.0119,0.0462,0.0000,0.3987,8.3471,tossup,False,R,true_incumbent,persuasion,1044,24438,9
35,0.0335,0.0135,0.0462,0.0000,0.6146,8.2683,lean_d,True,R,open_seat,persuasion,876,28124,10
75,-0.0084,-0.0284,0.0387,0.0000,0.2316,7.8792,tossup,False,R,true_incumbent,persuasion,927,20161,11
72,-0.0016,-0.0216,0.0483,0.0000,0.3278,7.4749,tossup,False,R,true_incumbent,persuasion,1078,21380,12
44,-0.0064,-0.0264,0.0462,0.0000,0.2842,7.3312,tossup,True,R,open_seat,persuasion,972,24984,13
10,0.0523,0.0323,0.0423,0.0000,0.7777,7.0437,lean_d,False,D,true_incumbent,persuasion,1062,22141,14
31,0.0500,0.0300,0.0462,0.0000,0.7417,6.9909,lean_d,True,R,open_seat,persuasion,1314,25695,15
14,0.0567,0.0367,0.0399,0.0000,0.8214,6.5438,lean_d,False,D,true_incumbent,persuasion,1251,20173,16
37,-0.0184,-0.0384,0.0462,0.0000,0.2029,6.1065,tossup,False,R,true_incumbent,persuasion,990,22932,17
29,-0.0228,-0.0428,0.0462,0.0000,0.1774,5.6232,tossup,False,R,true_incumbent,persuasion,977,23088,18
15,0.0732,0.0532,0.0462,0.0000,0.8751,4.4492,lean_d,False,D,true_incumbent,persuasion,1323,21254,19
89,-0.0331,-0.0531,0.0405,0.0000,0.0947,4.1645,lean_r,False,R,true_incumbent,persuasion,968,22426,20
53,0.0775,0.0575,0.0419,0.0000,0.9151,3.7090,lean_d,False,D,true_incumbent,persuasion,1597,20579,21
73,-0.0466,-0.0666,0.0462,0.0000,0.0748,3.0544,lean_r,False,R,true_incumbent,persuasion,814,23746,22
27,0.0811,0.0612,0.0387,0.0000,0.9430,2.9577,likely_d,False,D,true_incumbent,persuasion,1013,27552,23
68,-0.0487,-0.0687,0.0462,0.0000,0.0687,2.8627,lean_r,False,R,true_incumbent,persuasion,787,21397,24
34,0.0827,0.0627,0.0388,0.0000,0.9472,2.7802,likely_d,False,D,true_incumbent,persuasion,1202,23801,25
58,0.0946,0.0746,0.0462,0.0000,0.9467,2.3457,likely_d,False,D,true_incumbent,persuasion,1745,18315,26
59,-0.0562,-0.0762,0.0462,0.0000,0.0497,2.2185,lean_r,False,R,true_incumbent,persuasion,1169,21976,27
19,0.0943,0.0743,0.0432,0.0000,0.9574,2.1012,likely_d,False,D,true_incumbent,persuasion,1124,26458,28
11,0.0962,0.0762,0.0419,0.0000,0.9653,1.8300,likely_d,False,D,true_incumbent,persuasion,994,26618,29
57,-0.0540,-0.0740,0.0387,0.0000,0.0279,1.6582,lean_r,True,R,open_seat,persuasion,892,24852,30
65,-0.0653,-0.0853,0.0462,0.0000,0.0326,1.5743,lean_r,False,R,true_incumbent,persuasion,1292,20510,31
50,-0.0707,-0.0907,0.0462,0.0000,0.0249,1.2603,lean_r,False,R,true_incumbent,persuasion,1066,20237,32
54,-0.0677,-0.0877,0.0425,0.0000,0.0194,1.1129,lean_r,False,R,true_incumbent,persuasion,1167,22201,33
95,-0.0789,-0.0989,0.0484,0.0000,0.0206,1.0243,lean_r,False,R,true_incumbent,persuasion,787,16085,34
61,-0.0663,-0.0863,0.0405,0.0000,0.0166,1.0199,lean_r,False,R,true_incumbent,persuasion,890,24905,35
99,-0.0691,-0.0891,0.0419,0.0000,0.0167,0.9890,lean_r,False,R,true_incumbent,persuasion,814,20771,36
56,-0.0654,-0.0854,0.0395,0.0000,0.0154,0.9815,lean_r,False,R,true_incumbent,persuasion,731,22802,37
70,-0.0646,-0.0846,0.0390,0.0000,0.0151,0.9746,lean_r,False,R,true_incumbent,persuasion,709,20931,38
45,-0.0659,-0.0859,0.0395,0.0000,0.0148,0.9470,lean_r,False,R,true_incumbent,persuasion,798,23688,39
74,-0.0655,-0.0855,0.0389,0.0000,0.0139,0.9147,lean_r,False,R,true_incumbent,persuasion,810,16843,40
47,-0.0698,-0.0898,0.0408,0.0000,0.0138,0.8622,lean_r,False,R,true_incumbent,persuasion,809,18904,41
28,0.0898,0.0698,0.0290,0.0000,0.9920,0.7553,likely_d,False,D,true_incumbent,persuasion,1001,24273,42
66,-0.0691,-0.0891,0.0388,0.0000,0.0109,0.7391,lean_r,False,R,true_incumbent,persuasion,800,25019,43
4,0.1124,0.0924,0.0393,0.0000,0.9906,0.6407,likely_d,False,D,true_incumbent,persuasion,1161,28098,44
16,0.1260,0.1060,0.0462,0.0000,0.9891,0.6229,likely_d,False,D,true_incumbent,persuasion,1211,25234,45
5,0.1287,0.1087,0.0462,0.0000,0.9906,0.5440,likely_d,False,D,true_incumbent,persuasion,1411,21246,46
48,-0.0746,-0.0947,0.0387,0.0000,0.0072,0.5182,lean_r,False,R,true_incumbent,persuasion,1190,22920,47
6,0.1211,0.1011,0.0399,0.0000,0.9944,0.4035,likely_d,False,D,true_incumbent,persuasion,1120,17721,48
41,0.1362,0.1162,0.0462,0.0000,0.9940,0.3669,likely_d,False,D,true_incumbent,persuasion,1340,19816,49
94,-0.1127,-0.1327,0.0521,0.0000,0.0054,0.2985,likely_r,False,R,true_incumbent,persuasion,727,17366,50
90,-0.1775,-0.1975,0.0772,0.0000,0.0052,0.1950,safe_r,False,R,true_incumbent,persuasion,700,15628,51
67,-0.1205,-0.1405,0.0462,0.0000,0.0012,0.0856,likely_r,False,R,true_incumbent,persuasion,671,22501,52
46,-0.1003,-0.1203,0.0387,0.0000,0.0009,0.0819,likely_r,False,R,true_incumbent,persuasion,704,23022,53
92,-0.1237,-0.1437,0.0462,0.0000,0.0009,0.0690,likely_r,False,R,true_incumbent,persuasion,757,17207,54
43,0.1505,0.1305,0.0414,0.0000,0.9992,0.0670,safe_d,False,D,true_incumbent,persuasion,1236,17760,55
62,-0.1100,-0.1300,0.0388,0.0000,0.0004,0.0375,likely_r,False,R,true_incumbent,persuasion,713,24991,56
51,-0.1377,-0.1577,0.0462,0.0000,0.0003,0.0257,likely_r,False,R,true_incumbent,persuasion,784,19357,57
76,-0.1423,-0.1623,0.0462,0.0000,0.0002,0.0182,likely_r,False,R,true_incumbent,persuasion,697,18835,58
96,-0.1264,-0.1464,0.0401,0.0000,0.0001,0.0125,likely_r,False,R,true_incumbent,persuasion,970,19057,59
12,-0.1578,-0.1778,0.0462,0.0000,0.0001,0.0053,safe_r,False,R,true_incumbent,persuasion,659,19056,60
77,-0.1335,-0.1535,0.0387,0.0000,0.0000,0.0039,likely_r,False,R,true_incumbent,persuasion,509,17899,61
8,0.1917,0.1717,0.0415,0.0000,1.0000,0.0018,safe_d,False,D,true_incumbent,persuasion,991,23018,62
42,0.2109,0.1909,0.0462,0.0000,1.0000,0.0017,safe_d,False,D,true_incumbent,persuasion,1406,14712,63
71,-0.1441,-0.1641,0.0388,0.0000,0.0000,0.0013,likely_r,False,R,true_incumbent,persuasion,528,17418,64
81,-0.1755,-0.1955,0.0462,0.0000,0.0000,0.0011,safe_r,True,R,open_seat,persuasion,646,18389,65
97,-0.1498,-0.1698,0.0391,0.0000,0.0000,0.0008,likely_r,False,R,true_incumbent,persuasion,623,18843,66
78,-0.1804,-0.2004,0.0462,0.0000,0.0000,0.0007,safe_r,False,R,true_incumbent,persuasion,571,16611,67
98,-0.1819,-0.2019,0.0462,0.0000,0.0000,0.0006,safe_r,False,R,true_incumbent,persuasion,508,15402,68
93,-0.1879,-0.2079,0.0462,0.0000,0.0000,0.0004,safe_r,False,R,true_incumbent,persuasion,743,16300,69
9,0.2288,0.2088,0.0462,0.0000,1.0000,0.0003,safe_d,False,D,true_incumbent,persuasion,1850,18757,70
88,-0.1099,-0.1299,0.0263,0.0000,0.0000,0.0001,likely_r,False,R,true_incumbent,persuasion,666,17588,71
91,-0.2045,-0.2245,0.0462,0.0000,0.0000,0.0001,safe_r,False,R,true_incumbent,persuasion,626,17454,72
26,0.2452,0.2252,0.0462,0.0000,1.0000,0.0001,safe_d,False,D,true_incumbent,persuasion,1307,24272,73
79,-0.1701,-0.1901,0.0387,0.0000,0.0000,0.0001,safe_r,False,R,true_incumbent,persuasion,619,19592,74
7,0.2466,0.2266,0.0462,0.0000,1.0000,0.0001,safe_d,True,D,open_seat,persuasion,1124,22224,75
55,-0.1766,-0.1966,0.0397,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,550,25909,76
69,-0.1867,-0.2067,0.0412,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,595,20401,77
40,-0.2008,-0.2208,0.0440,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,617,20779,78
85,-0.2257,-0.2457,0.0479,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,474,18520,79
83,-0.1771,-0.1971,0.0361,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,621,17910,80
63,-0.1941,-0.2141,0.0388,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,555,20385,81
33,0.2739,0.2539,0.0462,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,1894,17028,82
30,-0.1461,-0.1661,0.0281,0.0000,0.0000,0.0000,likely_r,False,R,true_incumbent,persuasion,626,26134,83
38,0.3028,0.2828,0.0462,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,1618,17075,84
82,-0.2182,-0.2382,0.0387,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,520,18459,85
2,0.3119,0.2919,0.0462,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,1718,17569,86
86,-0.1119,-0.1319,0.0204,0.0000,0.0000,0.0000,likely_r,False,R,true_incumbent,persuasion,596,20055,87
24,0.2736,0.2536,0.0393,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,1297,15887,88
21,0.3113,0.2913,0.0445,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,2130,20705,89
87,-0.2008,-0.2208,0.0309,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,579,18694,90
84,-0.2652,-0.2852,0.0394,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,365,19022,91
1,0.3656,0.3456,0.0462,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,1813,17635,92
3,0.3705,0.3505,0.0462,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,hybrid,3379,14355,93
25,0.3814,0.3614,0.0455,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,1448,14924,94
22,0.3943,0.3743,0.0462,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,2315,16076,95
80,-0.1978,-0.2178,0.0266,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,652,21077,96
20,0.4226,0.4026,0.0462,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,2039,12620,97
18,0.4342,0.4142,0.0462,0.0000,1.0000,0.0000,safe_d,True,D,open_seat,persuasion,2400,18241,98
13,0.3122,0.2922,0.0233,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,1705,18739,99
